name,age,height,exercise,dob
Guido,1,5.61,false,11/27/2022
Ashlen,2,6.11,false,7/13/2022
Jules,3,5.85,false,11/18/2022
Quinton,4,5.23,true,1/18/2023
,5,5.92,,8/4/2022
,6,5.16,,11/16/2022
Joceline,7,5.67,true,4/2/2023
Kamila,8,6.5,false,1/3/2023
Ulrike,9,6.16,true,7/14/2022
,10,6.5,,6/7/2022
Mac,11,5.69,true,4/13/2023
Barnaby,12,5.62,true,11/2/2022
,13,5.89,,5/6/2023
,,,,
,15,6.34,,3/21/2023
,16,6.43,,6/21/2022
Meghan,17,6.7,true,7/7/2022
Sophia,18,5.8,true,1/13/2023
Matias,19,5.39,false,5/18/2023
Jeramey,20,6.32,false,3/14/2023
Fifine,21,5.6,false,5/26/2022
Goddart,22,6.26,false,7/15/2022
Shandee,23,6.7,false,1/3/2023
Nonnah,24,6.54,true,4/10/2023
Brendis,25,6.91,true,5/2/2023
Nanine,26,5.79,false,2/16/2023
Mirelle,27,5.8,false,2/6/2023
Mag,28,6.19,true,6/1/2022
Garrick,29,5.13,true,8/3/2022
Lora,30,5.88,true,12/5/2022
,31,5.4,,9/13/2022
Madelaine,32,6.14,true,12/4/2022
Lesli,33,5.26,true,4/28/2023
Brent,34,6.78,true,12/19/2022
Kellia,35,6.88,true,11/4/2022
Elisabetta,36,6.96,false,10/9/2022
,37,5.58,,5/26/2022
Terencio,38,6.13,true,1/29/2023
Adlai,39,5.57,false,5/11/2023
Siegfried,40,5.88,false,7/29/2022
Linda,41,5.15,true,1/15/2023
Miran,42,5.95,true,8/26/2022
Winonah,43,6.64,true,3/8/2023
Bald,44,5.91,true,5/28/2022
Aurelea,45,5.6,true,4/22/2023
,46,6.33,,3/7/2023
Sky,47,6.8,true,7/12/2022
Katherina,48,5.12,false,6/23/2022
,49,6.83,,3/27/2023
,50,5.88,,9/14/2022
,51,6.87,,6/23/2022
Elinor,52,6.66,true,11/18/2022
Rikki,53,5.37,false,3/28/2023
Leanora,54,6.09,false,7/27/2022
Konstanze,55,5.52,false,3/14/2023
,56,6.15,,11/1/2022
Read,57,5.9,true,10/1/2022
,,,,
Leeland,59,5.45,false,4/11/2023
Mellisent,,,true,
Joscelin,61,5.01,false,5/1/2023
,62,5.02,,8/5/2022
Zarah,63,5.71,true,2/9/2023
Erwin,64,5.24,true,12/10/2022
Sigfrid,65,6.51,false,12/4/2022
Nadia,,,false,
,67,5.15,,10/31/2022
Vivianne,,,true,
,69,6.78,,2/23/2023
Gloria,70,6.9,false,6/18/2022
Archibaldo,,,false,
Alfy,72,6.71,true,8/6/2022
Dianemarie,73,5.19,false,1/14/2023
Lurlene,74,5.6,true,1/29/2023
Art,75,5.78,true,9/14/2022
Irving,76,6.35,false,12/25/2022
,,,,
,78,5.71,,12/23/2022
Guillermo,79,6.15,true,1/4/2023
,80,5.59,,11/29/2022
Katie,81,5.38,true,5/3/2023
Sacha,82,5.45,false,8/30/2022
Horton,83,5.81,true,12/15/2022
Spense,84,5.0,true,9/17/2022
,85,5.72,,7/4/2022
Vonny,86,5.28,true,6/26/2022
Fredia,87,5.64,true,3/25/2023
Georgia,88,5.32,true,9/10/2022
Priscilla,89,6.47,true,2/2/2023
Denny,90,6.05,true,4/23/2023
Iggie,91,6.2,false,10/1/2022
Herve,92,6.93,false,4/28/2023
,93,6.99,,10/4/2022
,94,5.83,,11/21/2022
,95,5.91,,4/23/2023
,96,5.38,,3/9/2023
Tabbie,97,5.33,false,8/28/2022
,98,6.4,,11/16/2022
Shamus,99,6.17,true,1/6/2023
Ermin,100,5.03,true,8/15/2022
,101,6.67,,4/1/2023
Rorie,102,5.33,true,4/6/2023
Vicki,103,5.35,true,4/20/2023
,104,5.76,,9/7/2022
Roley,105,5.73,true,8/26/2022
Inger,106,6.78,false,11/17/2022
Terry,107,5.31,false,12/6/2022
,108,5.59,,8/5/2022
Bennie,109,5.55,true,5/11/2023
Donaugh,110,6.27,true,8/1/2022
,111,5.11,,3/15/2023
Pamela,112,6.35,false,11/2/2022
Rhys,113,5.95,true,11/12/2022
Rem,114,5.34,false,1/14/2023
,115,5.87,,6/18/2022
,116,5.62,,7/28/2022
Abby,117,6.56,true,6/19/2022
Agosto,118,5.91,false,6/22/2022
Suzann,119,5.22,false,7/15/2022
,120,5.91,,7/12/2022
Sheri,121,6.36,true,7/29/2022
Ailis,122,5.71,false,1/7/2023
Babita,,,false,
Drucill,124,6.64,true,6/9/2022
Thurstan,125,5.54,false,11/29/2022
Wallis,126,5.99,false,8/1/2022
,127,6.61,,10/2/2022
Crystal,128,6.64,false,8/13/2022
,129,6.16,,4/24/2023
Emilee,,,true,
Reuben,131,5.04,false,8/15/2022
Nye,132,6.99,true,7/5/2022
Leia,133,6.1,false,9/26/2022
Carlene,134,5.79,true,2/5/2023
Jamal,135,6.91,false,12/28/2022
Cesya,136,5.2,false,6/26/2022
Issiah,137,6.07,false,12/25/2022
Rosita,138,6.87,false,2/14/2023
Nannie,139,5.35,false,12/5/2022
Francine,140,5.65,true,10/18/2022
Jule,141,6.31,false,3/19/2023
,,,,
Conn,143,5.61,true,10/24/2022
,,,,
